id,host_yrs_experience,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,accommodates,bathrooms,bedrooms,beds,bed_type,charge_cleaning_fee,guests_included,charge_extra_people,availability_60,number_of_reviews,review_recency,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month,review_scores_rating,target_recommendation_numeric,target_recommendation
12190450,3.9,N/A,N/A,f,1,t,2,1,1,1,Real Bed,t,1,f,0,3,3.58,7,5,9,9,7,7,f,strict,0.26,60,0,bad
4510204,5.7,N/A,N/A,f,1,t,4,1,1,1,Real Bed,t,1,t,0,1,4.13,10,8,10,10,6,6,f,flexible,0.06,60,0,bad
6044620,5.0,within a few hours,90%,f,8,t,3,1,1,1,Real Bed,f,2,t,60,2,3.47,6,7,8,6,6,6,f,strict,0.09,60,0,bad
898252,9.5,within a few hours,100%,t,12,t,6,2,2,2,Real Bed,t,1,f,45,1,4.31,10,4,10,10,10,6,f,strict,0.05,60,0,bad
18008477,4.3,within an hour,100%,f,30,t,12,1,3,5,Real Bed,t,1,f,35,3,2.81,7,4,7,7,8,7,t,strict,3,60,0,bad
16547045,3.8,within an hour,100%,f,3,t,9,4,3,3,Real Bed,f,6,t,60,1,3.00,8,4,10,10,10,10,t,strict,0.41,60,0,bad
17437952,4.0,within a few hours,100%,f,3,t,6,1,2,4,Real Bed,t,2,t,8,2,2.87,8,6,9,9,7,7,t,flexible,1.3,60,0,bad
7163179,5.6,N/A,N/A,f,1,t,3,1,1,1,Real Bed,f,3,t,0,4,4.49,7,6,9,9,9,7,t,strict,0.19,60,0,bad
18240512,2.9,within an hour,100%,f,12,f,1,2,1,1,Real Bed,t,1,f,58,1,2.85,6,10,10,10,8,6,t,strict,1,60,0,bad
16121603,5.2,within an hour,95%,f,14,t,4,1,1,2,Real Bed,t,3,t,0,2,2.94,9,10,6,8,10,7,t,strict,0.43,60,0,bad
8292371,8.0,a few days or more,0%,f,2,t,1,1,1,1,Real Bed,f,1,f,32,1,4.37,8,4,4,8,6,4,f,moderate,0.05,60,0,bad
17825238,2.9,a few days or more,41%,f,1,f,8,1,1,1,Real Bed,f,1,f,57,2,2.87,6,6,8,9,6,6,t,flexible,1.76,60,0,bad
